Month,variable,value
2010-01-01,01_Bayamon_entradas,80600.0
2010-02-01,01_Bayamon_entradas,92126.0
2010-03-01,01_Bayamon_entradas,101720.0
2010-04-01,01_Bayamon_entradas,87015.0
2010-05-01,01_Bayamon_entradas,89439.0
2010-06-01,01_Bayamon_entradas,87778.0
2010-07-01,01_Bayamon_entradas,82878.0
2010-08-01,01_Bayamon_entradas,95919.0
2010-09-01,01_Bayamon_entradas,113563.0
2010-10-01,01_Bayamon_entradas,114556.0
2010-11-01,01_Bayamon_entradas,103278.0
2010-12-01,01_Bayamon_entradas,96318.0
2011-01-01,01_Bayamon_entradas,93551.0
2011-02-01,01_Bayamon_entradas,105431.0
2011-03-01,01_Bayamon_entradas,119613.0
2011-04-01,01_Bayamon_entradas,100817.0
2011-05-01,01_Bayamon_entradas,105911.0
2011-06-01,01_Bayamon_entradas,103084.0
2011-07-01,01_Bayamon_entradas,81916.0
2011-08-01,01_Bayamon_entradas,93308.0
2011-09-01,01_Bayamon_entradas,116931.0
2011-10-01,01_Bayamon_entradas,126321.0
2011-11-01,01_Bayamon_entradas,111619.0
2011-12-01,01_Bayamon_entradas,101680.0
2012-01-01,01_Bayamon_entradas,104055.0
2012-02-01,01_Bayamon_entradas,115426.0
2012-03-01,01_Bayamon_entradas,118451.0
2012-04-01,01_Bayamon_entradas,105158.0
2012-05-01,01_Bayamon_entradas,111427.0
2012-06-01,01_Bayamon_entradas,101006.0
2012-07-01,01_Bayamon_entradas,84460.0
2012-08-01,01_Bayamon_entradas,108715.0
2012-09-01,01_Bayamon_entradas,118595.0
2012-10-01,01_Bayamon_entradas,131700.0
2012-11-01,01_Bayamon_entradas,106642.0
2012-12-01,01_Bayamon_entradas,98150.0
2013-01-01,01_Bayamon_entradas,117875.0
2013-02-01,01_Bayamon_entradas,115590.0
2013-03-01,01_Bayamon_entradas,106024.0
2013-04-01,01_Bayamon_entradas,121118.0
2013-05-01,01_Bayamon_entradas,110889.0
2013-06-01,01_Bayamon_entradas,93568.0
2013-07-01,01_Bayamon_entradas,84629.0
2013-08-01,01_Bayamon_entradas,116979.0
2013-09-01,01_Bayamon_entradas,116958.0
2013-10-01,01_Bayamon_entradas,135307.0
2013-11-01,01_Bayamon_entradas,104131.0
2013-12-01,01_Bayamon_entradas,97652.0
2014-01-01,01_Bayamon_entradas,107075.0
2014-02-01,01_Bayamon_entradas,109734.0
2014-03-01,01_Bayamon_entradas,121399.0
2014-04-01,01_Bayamon_entradas,107895.0
2014-05-01,01_Bayamon_entradas,106451.0
2014-06-01,01_Bayamon_entradas,94474.0
2014-07-01,01_Bayamon_entradas,81048.0
2014-08-01,01_Bayamon_entradas,99629.0
2014-09-01,01_Bayamon_entradas,110992.0
2014-10-01,01_Bayamon_entradas,109783.0
2014-11-01,01_Bayamon_entradas,83518.0
2014-12-01,01_Bayamon_entradas,78577.0
