Month,01 Bayamon entradas,02 Deportivo entradas,03 Jardines entradas,04 Torrimar entradas,05 Martinez Nadal entradas,06 Las Lomas entradas,07 San Francisco entradas,08 Centro Medico entradas,09 Cupey entradas,10 Rio Piedras entradas,11 Universidad entradas,12 Piñero entradas,13 Domenech entradas,14 Roosevelt entradas,15 Hato Rey entradas,16 Sagrado Corazon entradas,Total entradas ,01 Bayamon Salidas,02 Deportivo Salidas,03 Jardines Salidas,04 Torrimar Salidas,05 Martinez Nadal Salidas,06 Las Lomas Salidas,07 San Francisco Salidas,08 Centro Medico Salidas,09 Cupey Salidas,10 Rio Piedras Salidas,11 Universidad Salidas,12 Piñero Salidas,13 Domenech Salidas,14 Roosevelt Salidas,15 Hato Rey Salidas,16 Sagrado Corazon Salidas,Total Salidas 
1/1/2010,"80,600","77,677","11,293","16,808","47,797","17,040","35,450","51,473","28,619","57,444","35,969","24,590","23,187","31,448","39,294","86,565","665,254",87245,75163,11221,16250,46474,16629,30233,54009,27402,62187,40129,26769,22041,32166,36774,91442,676134
2/1/2010,"92,126","92,312","13,018","18,653","53,642","20,636","38,382","61,697","39,095","63,805","70,725","29,396","28,706","36,686","35,323","86,024","780,226",101550,90622,13109,18823,54616,20002,35075,63621,38442,69641,72870,31909,27873,37367,32620,85314,793454
3/1/2010,"101,720","100,045","14,263","19,543","58,111","23,321","41,555","68,864","40,932","68,010","78,531","32,474","31,866","41,354","39,036","94,160","853,785",111164,97293,14192,19766,59484,21925,37313,71153,39767,73831,77079,34904,30669,41925,37043,93291,860799
4/1/2010,"87,015","82,708","12,311","17,114","49,165","20,348","37,185","59,156","35,414","59,284","49,383","28,854","27,576","36,049","34,079","82,836","718,477",94698,81087,12365,16788,49630,19432,33723,61055,34433,62365,49558,30716,27087,37005,32408,82107,724457
5/1/2010,"89,439","82,142","13,865","17,281","49,681","21,182","41,151","62,734","34,189","72,216","25,348","31,135","28,680","35,566","43,530","88,590","736,729",97554,79130,13602,17068,51725,20280,38231,64056,32531,77510,25023,33507,27058,36819,40458,88541,743093
6/1/2010,"87,778","78,971","13,330","16,939","45,796","20,134","39,080","68,078","31,791","70,500","19,838","30,182","31,245","34,588","29,584","90,419","708,253",95000,77957,13102,16956,48178,19632,35686,69268,29332,78001,19890,32742,29125,35460,27391,91932,719652
7/1/2010,"82,878","71,317","13,043","16,336","43,325","19,560","34,323","55,201","26,053","71,758","41,491","25,509","24,991","32,680","21,250","82,428","662,143",88491,69604,12166,16629,44985,18806,31485,57660,25120,78843,43084,27570,23739,32085,18641,84604,673512
8/1/2010,"95,919","90,853","15,783","18,898","52,820","22,822","43,193","69,284","40,909","84,678","35,368","34,439","28,866","43,261","30,964","102,368","810,425",104110,88679,15345,19039,54038,23103,39107,72645,39389,91361,36654,35466,25429,44311,28117,102594,819387
9/1/2010,"113,563","107,157","17,423","21,567","66,686","25,979","47,387","75,647","54,969","90,576","84,487","38,037","33,742","47,580","39,933","113,043","977,776",123693,104374,17026,22331,69401,25401,43007,80555,52768,98708,85370,38635,30311,49476,35685,112515,989256
10/1/2010,"114,556","108,780","18,146","22,514","68,392","25,974","50,476","76,145","52,132","92,685","82,175","37,156","33,854","44,847","52,642","112,257","992,731",123446,105106,17478,22346,68404,25194,43934,81564,49519,99609,80927,38369,29914,46806,45201,111068,988885
