Month,01_Bayamon_entradas,02_Deportivo_entradas,03_Jardines_entradas,04_Torrimar_entradas,05_Martinez_Nadal_entradas,06_Las_Lomas_entradas,07_San_Francisco_entradas,08_Centro_Medico_entradas,09_Cupey_entradas,10_Rio_Piedras_entradas,11_Universidad_entradas,12_Piñero_entradas,13_Domenech_entradas,14_Roosevelt_entradas,15_Hato_Rey_entradas,16_Sagrado_Corazon_entradas,Total_entradas_,01_Bayamon_Salidas,02_Deportivo_Salidas,03_Jardines_Salidas,04_Torrimar_Salidas,05_Martinez_Nadal_Salidas,06_Las_Lomas_Salidas,07_San_Francisco_Salidas,08_Centro_Medico_Salidas,09_Cupey_Salidas,10_Rio_Piedras_Salidas,11_Universidad_Salidas,12_Piñero_Salidas,13_Domenech_Salidas,14_Roosevelt_Salidas,15_Hato_Rey_Salidas,16_Sagrado_Corazon_Salidas,Total_Salidas_
2010-01-01,80600.0,77677.0,11293.0,16808.0,47797.0,17040.0,35450.0,51473.0,28619.0,57444.0,35969.0,24590.0,23187.0,31448.0,39294.0,86565.0,665254.0,87245.0,75163.0,11221.0,16250.0,46474.0,16629.0,30233.0,54009.0,27402.0,62187.0,40129.0,26769.0,22041.0,32166.0,36774.0,91442.0,676134.0
2010-02-01,92126.0,92312.0,13018.0,18653.0,53642.0,20636.0,38382.0,61697.0,39095.0,63805.0,70725.0,29396.0,28706.0,36686.0,35323.0,86024.0,780226.0,101550.0,90622.0,13109.0,18823.0,54616.0,20002.0,35075.0,63621.0,38442.0,69641.0,72870.0,31909.0,27873.0,37367.0,32620.0,85314.0,793454.0
2010-03-01,101720.0,100045.0,14263.0,19543.0,58111.0,23321.0,41555.0,68864.0,40932.0,68010.0,78531.0,32474.0,31866.0,41354.0,39036.0,94160.0,853785.0,111164.0,97293.0,14192.0,19766.0,59484.0,21925.0,37313.0,71153.0,39767.0,73831.0,77079.0,34904.0,30669.0,41925.0,37043.0,93291.0,860799.0
2010-04-01,87015.0,82708.0,12311.0,17114.0,49165.0,20348.0,37185.0,59156.0,35414.0,59284.0,49383.0,28854.0,27576.0,36049.0,34079.0,82836.0,718477.0,94698.0,81087.0,12365.0,16788.0,49630.0,19432.0,33723.0,61055.0,34433.0,62365.0,49558.0,30716.0,27087.0,37005.0,32408.0,82107.0,724457.0
2010-05-01,89439.0,82142.0,13865.0,17281.0,49681.0,21182.0,41151.0,62734.0,34189.0,72216.0,25348.0,31135.0,28680.0,35566.0,43530.0,88590.0,736729.0,97554.0,79130.0,13602.0,17068.0,51725.0,20280.0,38231.0,64056.0,32531.0,77510.0,25023.0,33507.0,27058.0,36819.0,40458.0,88541.0,743093.0
2010-06-01,87778.0,78971.0,13330.0,16939.0,45796.0,20134.0,39080.0,68078.0,31791.0,70500.0,19838.0,30182.0,31245.0,34588.0,29584.0,90419.0,708253.0,95000.0,77957.0,13102.0,16956.0,48178.0,19632.0,35686.0,69268.0,29332.0,78001.0,19890.0,32742.0,29125.0,35460.0,27391.0,91932.0,719652.0
2010-07-01,82878.0,71317.0,13043.0,16336.0,43325.0,19560.0,34323.0,55201.0,26053.0,71758.0,41491.0,25509.0,24991.0,32680.0,21250.0,82428.0,662143.0,88491.0,69604.0,12166.0,16629.0,44985.0,18806.0,31485.0,57660.0,25120.0,78843.0,43084.0,27570.0,23739.0,32085.0,18641.0,84604.0,673512.0
2010-08-01,95919.0,90853.0,15783.0,18898.0,52820.0,22822.0,43193.0,69284.0,40909.0,84678.0,35368.0,34439.0,28866.0,43261.0,30964.0,102368.0,810425.0,104110.0,88679.0,15345.0,19039.0,54038.0,23103.0,39107.0,72645.0,39389.0,91361.0,36654.0,35466.0,25429.0,44311.0,28117.0,102594.0,819387.0
2010-09-01,113563.0,107157.0,17423.0,21567.0,66686.0,25979.0,47387.0,75647.0,54969.0,90576.0,84487.0,38037.0,33742.0,47580.0,39933.0,113043.0,977776.0,123693.0,104374.0,17026.0,22331.0,69401.0,25401.0,43007.0,80555.0,52768.0,98708.0,85370.0,38635.0,30311.0,49476.0,35685.0,112515.0,989256.0
2010-10-01,114556.0,108780.0,18146.0,22514.0,68392.0,25974.0,50476.0,76145.0,52132.0,92685.0,82175.0,37156.0,33854.0,44847.0,52642.0,112257.0,992731.0,123446.0,105106.0,17478.0,22346.0,68404.0,25194.0,43934.0,81564.0,49519.0,99609.0,80927.0,38369.0,29914.0,46806.0,45201.0,111068.0,988885.0
2010-11-01,103278.0,96139.0,16790.0,19577.0,58074.0,24305.0,43023.0,68499.0,46597.0,87363.0,71882.0,33926.0,30328.0,40361.0,33687.0,98370.0,872199.0,112596.0,94076.0,16171.0,20030.0,59059.0,22987.0,39398.0,72734.0,44653.0,93806.0,71311.0,34625.0,27132.0,41976.0,28216.0,99804.0,878574.0
2010-12-01,96318.0,88452.0,16186.0,18806.0,53138.0,23328.0,42234.0,65182.0,39072.0,93437.0,44778.0,34216.0,29906.0,39777.0,35847.0,84048.0,804725.0,103714.0,84938.0,15248.0,19242.0,53086.0,22032.0,38034.0,68677.0,36580.0,101272.0,45464.0,34495.0,26904.0,42299.0,26924.0,89796.0,808705.0
2011-01-01,93551.0,89203.0,15622.0,19699.0,59290.0,23043.0,46425.0,62801.0,39874.0,82319.0,34230.0,33530.0,28890.0,39438.0,38098.0,129919.0,835932.0,97063.0,83365.0,14517.0,19523.0,52945.0,21435.0,37662.0,66652.0,36166.0,88420.0,32537.0,33610.0,26789.0,39682.0,32592.0,136159.0,819117.0
2011-02-01,105431.0,101682.0,16513.0,20630.0,61714.0,25287.0,48046.0,69697.0,49993.0,89995.0,57533.0,42732.0,34282.0,41968.0,51262.0,107756.0,924521.0,112504.0,98197.0,16150.0,20865.0,61414.0,24494.0,42341.0,72351.0,48253.0,97538.0,56207.0,43653.0,32294.0,43029.0,35193.0,104405.0,908888.0
2011-03-01,119613.0,116918.0,19042.0,23503.0,68842.0,29078.0,53225.0,79270.0,58317.0,99072.0,76140.0,43698.0,39207.0,49325.0,57494.0,124417.0,1057161.0,125699.0,112350.0,18541.0,23974.0,69580.0,28133.0,47496.0,83210.0,56003.0,106976.0,75846.0,44933.0,37665.0,50427.0,37183.0,117121.0,1035137.0
2011-04-01,100817.0,98638.0,16609.0,19747.0,54188.0,24907.0,45049.0,65993.0,43020.0,85311.0,60094.0,35729.0,31564.0,40553.0,38025.0,102365.0,862609.0,105245.0,93493.0,15894.0,19842.0,55999.0,24233.0,38837.0,70703.0,40861.0,93195.0,60821.0,36881.0,30538.0,41520.0,27061.0,97490.0,852613.0
2011-05-01,105911.0,100923.0,17015.0,20800.0,56899.0,24972.0,45885.0,70922.0,42776.0,88672.0,63811.0,38198.0,31843.0,41209.0,40124.0,100399.0,890359.0,112240.0,96095.0,16187.0,20744.0,57543.0,24009.0,40354.0,75537.0,41993.0,95728.0,64481.0,39168.0,31081.0,42175.0,30325.0,95476.0,883136.0
2011-06-01,103084.0,98115.0,15606.0,20410.0,53719.0,23546.0,47227.0,71266.0,40330.0,85513.0,35936.0,37380.0,32571.0,37458.0,47757.0,102376.0,852294.0,105337.0,88373.0,14485.0,19065.0,49310.0,22655.0,38991.0,75376.0,37528.0,92783.0,36031.0,38802.0,30819.0,37714.0,27706.0,96158.0,811133.0
2011-07-01,81916.0,68259.0,13457.0,15820.0,35860.0,20246.0,35986.0,55343.0,28759.0,77027.0,23059.0,27930.0,17785.0,29297.0,20473.0,85264.0,636481.0,85073.0,66301.0,12243.0,15438.0,35954.0,18897.0,30681.0,59554.0,27422.0,82497.0,23106.0,29640.0,16878.0,29759.0,17355.0,80132.0,630930.0
2011-08-01,93308.0,97333.0,17024.0,20438.0,42542.0,24618.0,44463.0,68686.0,49326.0,88498.0,52965.0,36448.0,17584.0,41983.0,33670.0,96989.0,825875.0,102920.0,91238.0,15956.0,20204.0,44848.0,23328.0,37896.0,73564.0,45249.0,95564.0,52826.0,38449.0,18853.0,42428.0,24507.0,90288.0,818118.0
2011-09-01,116931.0,114920.0,19610.0,22791.0,61200.0,28581.0,47550.0,74639.0,63319.0,96055.0,78023.0,42354.0,35674.0,48449.0,42808.0,119578.0,1012482.0,123744.0,108893.0,18763.0,22533.0,62274.0,27232.0,40499.0,79246.0,57820.0,104322.0,78009.0,43872.0,33847.0,48239.0,31749.0,107856.0,988898.0
2011-10-01,126321.0,120558.0,18801.0,24898.0,71458.0,29163.0,57793.0,76158.0,61223.0,99801.0,77484.0,41491.0,37843.0,48348.0,74231.0,120230.0,1085801.0,130229.0,109781.0,18339.0,24930.0,64902.0,27902.0,46103.0,79035.0,57095.0,108843.0,77010.0,42186.0,35708.0,47957.0,54766.0,108553.0,1033339.0
2011-11-01,111619.0,105072.0,17343.0,20382.0,58446.0,27624.0,47859.0,69136.0,55987.0,92740.0,68883.0,38986.0,32648.0,41048.0,37911.0,113379.0,939063.0,118728.0,99083.0,16565.0,20614.0,58623.0,25690.0,40355.0,72323.0,52890.0,100378.0,68550.0,40576.0,31678.0,40604.0,31049.0,104295.0,922001.0
2011-12-01,101680.0,92215.0,16474.0,18914.0,49614.0,25312.0,44857.0,63032.0,38723.0,93166.0,39595.0,34394.0,28783.0,37572.0,37525.0,95341.0,817197.0,105414.0,84826.0,15215.0,18619.0,50662.0,23644.0,37255.0,66658.0,35129.0,98628.0,40095.0,35762.0,26605.0,37917.0,32343.0,90339.0,799111.0
2012-01-01,104055.0,102459.0,16525.0,20559.0,61804.0,25481.0,51627.0,63461.0,46309.0,85231.0,49981.0,35600.0,29874.0,38871.0,33054.0,149746.0,914637.0,102615.0,79201.0,15121.0,19620.0,54916.0,23850.0,37379.0,66965.0,41089.0,90572.0,49203.0,36333.0,27524.0,38350.0,29227.0,145062.0,857027.0
2012-02-01,115426.0,111988.0,18442.0,21138.0,62878.0,28389.0,51668.0,71126.0,58138.0,92033.0,69051.0,44796.0,34465.0,43489.0,45477.0,117751.0,986255.0,118937.0,91756.0,17885.0,21188.0,63575.0,27231.0,43418.0,75508.0,54007.0,98924.0,69235.0,45347.0,32372.0,43259.0,37424.0,109558.0,949624.0
2012-03-01,118451.0,114401.0,19130.0,22122.0,64385.0,29428.0,54913.0,72967.0,58905.0,95931.0,68753.0,42850.0,36059.0,45023.0,47576.0,123514.0,1014408.0,125005.0,102500.0,18122.0,22085.0,63568.0,27706.0,44454.0,77619.0,55456.0,104022.0,69234.0,44025.0,33858.0,44269.0,39628.0,115015.0,986566.0
2012-04-01,105158.0,102739.0,17084.0,19672.0,54295.0,26328.0,47888.0,65817.0,47590.0,86050.0,59095.0,37648.0,31564.0,39797.0,40159.0,109718.0,890602.0,110765.0,92325.0,15937.0,19610.0,54979.0,24581.0,40026.0,69201.0,44841.0,93697.0,59323.0,39073.0,30073.0,39659.0,31615.0,101956.0,867661.0
2012-05-01,111427.0,106619.0,17573.0,20530.0,56165.0,28023.0,51151.0,72428.0,49269.0,95888.0,47930.0,42633.0,35399.0,42358.0,39278.0,112955.0,929626.0,117412.0,95762.0,16341.0,20181.0,58314.0,25781.0,44445.0,74774.0,45209.0,103542.0,48571.0,43430.0,32578.0,42470.0,32520.0,106448.0,907778.0
2012-06-01,101006.0,94146.0,15328.0,18704.0,51079.0,25024.0,46813.0,68468.0,36755.0,85020.0,37791.0,37875.0,33722.0,34322.0,33714.0,107030.0,826797.0,104977.0,87486.0,13747.0,18177.0,51789.0,23271.0,39448.0,70617.0,32899.0,91798.0,36968.0,39817.0,31075.0,34482.0,29697.0,104780.0,811028.0
2012-07-01,84460.0,77300.0,13362.0,15033.0,42237.0,21553.0,40265.0,54469.0,28439.0,78487.0,22343.0,30654.0,26873.0,28078.0,21279.0,90672.0,675504.0,88730.0,72045.0,12127.0,14722.0,43499.0,19546.0,33873.0,57469.0,25498.0,83808.0,22540.0,32068.0,24545.0,28150.0,18586.0,91426.0,668632.0
